id;name;year_of;genre;rating
1;Account Infrastructure;97607;quantify maroon collaboration;Concrete Soap
2;Honduras Baby Factors;62684;Account Investor;Assistant program circuit
3;Soap Islands;91255;Czech;black Outdoors
4;Fully-configurable connecting;81884;Table;pixel Keyboard help-desk
5;system sticky;29311;Cambridgeshire Chips;Agent
6;card;14744;programming didactic;Cotton
7;Knoll;69133;Refined;Multi-lateral revolutionary
8;Architect Throughway;92505;Coves;Home Universal toolset
9;embrace;1428;generation;interactive infomediaries Accounts
10;migration hack Plastic;41278;Corporate Buckinghamshire De-engineered;SDD e-services
