id;model_name;make;motor_size;color
1;interfaces ivory Angola;Credit Incredible;70232;indigo
2;SDD HTTP;Trace Keyboard Avon;93985;fuchsia
3;invoice multi-byte Chicken;Connecticut;48040;azure
4;Quality-focused French payment;Road incubate Credit;18345;plum
5;Automotive;reintermediate Palestinian Response;10401;teal
6;Hat Industrial;niches;38179;azure
7;wireless;firewall;36188;teal
8;full-range;Architect Granite Ball;80542;violet
9;Agent Chair;Applications JBOD invoice;75036;black
10;Solutions International;enhance;97268;lime
